Date;Humidite;Profondeur
2018-11-02;13,420781;150cm
2018-11-02;13,420781;160cm
2018-11-09;6,869153;10cm
2018-11-09;7,841839;20cm
2018-11-09;10,378609;30cm
2018-11-09;8,98171;40cm
2018-11-09;8,633964;50cm
2018-11-09;11,736744;60cm
2018-11-09;9,110041;70cm
2018-11-09;10,30961;80cm
2018-11-09;13,144912;90cm
2018-11-09;15,521412;100cm
2018-11-09;15,951893;110cm
2018-11-09;15,995277;120cm
2018-11-09;16,60898;130cm
2018-11-09;14,84532;140cm
2018-11-09;13,262771;150cm
2018-11-09;12,94969;160cm
2019-07-31;10,416282;10cm
2019-07-31;14,087908;20cm
2019-07-31;8,69319;30cm
2019-07-31;3,618372;40cm
2019-07-31;3,54469;50cm
2019-07-31;3,883229;60cm
2019-07-31;4,280447;70cm
2019-07-31;5,774887;80cm
2019-07-31;8,068485;90cm
2019-07-31;8,156175;100cm
2019-07-31;8,815071;110cm
2019-07-31;8,303474;120cm
2019-07-31;8,392538;130cm
2019-07-31;9,661847;140cm
2019-07-31;11,800723;150cm
2019-07-31;13,087175;160cm
2019-08-02;10,018853;10cm
2019-08-02;13,505887;20cm
2019-08-02;9,920794;30cm
2019-08-02;3,711728;40cm
2019-08-02;3,58142;50cm
2019-08-02;3,902568;60cm
2019-08-02;4,219449;70cm
2019-08-02;5,702529;80cm
2019-08-02;7,865896;90cm
2019-08-02;8,185504;100cm
2019-08-02;8,876339;110cm
2019-08-02;8,452214;120cm
2019-08-02;8,362784;130cm
2019-08-02;9,790848;140cm
2019-08-02;11,836501;150cm
2019-08-02;12,974174;160cm
2019-08-09;8,968694;10cm
2019-08-09;12,197504;20cm
2019-08-09;11,375744;30cm
2019-08-09;4,098943;40cm
2019-08-09;3,674225;50cm
2019-08-09;3,98045;60cm
2019-08-09;4,280447;70cm
2019-08-09;5,823409;80cm
2019-08-09;8,068485;90cm
2019-08-09;8,185504;100cm
2019-08-09;8,876339;110cm
2019-08-09;8,422341;120cm
2019-08-09;8,482121;130cm
2019-08-09;9,855722;140cm
2019-08-09;11,980215;150cm
2019-08-09;13,087175;160cm
2019-08-20;17,933943;10cm
2019-08-20;20,07938;20cm
2019-08-20;17,493082;30cm
2019-08-20;6,270412;40cm
2019-08-20;3,730565;50cm
2019-08-20;3,941391;60cm
2019-08-20;4,158944;70cm
2019-08-20;5,606844;80cm
2019-08-20;7,7514;90cm
2019-08-20;8,214922;100cm
2019-08-20;8,968694;110cm
2019-08-20;8,422341;120cm
